restaurant_id,description,phone,category,status
217,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",431-840-6429,카페/디저트,CLOSED
221,Aliquam erat volutpat.,903-636-4897,카페/디저트,OPEN
223,Morbi ut odio.,465-589-9600,일식,OPEN
224,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,294-273-8671,한식,CLOSED
225,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",838-370-4655,한식,CLOSED
226,Aenean sit amet justo.,818-875-5516,일식,OPEN
227,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",731-921-3885,한식,OPEN
230,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",625-186-0056,양식,OPEN
231,Curabitur in libero ut massa volutpat convallis.,242-733-3135,카페/디저트,CLOSED
232,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,383-618-2052,한식,OPEN
233,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",228-367-1772,중식,OPEN
234,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",689-668-8060,카페/디저트,CLOSED
235,Nulla mollis molestie lorem. Quisque ut erat.,586-703-8638,카페/디저트,CLOSED
237,Nullam sit amet turpis elementum ligula vehicula consequat.,506-991-4141,중식,CLOSED
240,In sagittis dui vel nisl. Duis ac nibh.,162-974-1146,일식,OPEN
243,Morbi porttitor lorem id ligula.,535-123-6433,한식,OPEN
244,Cras in purus eu magna vulputate luctus.,732-122-8020,기타,CLOSED
249,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",631-317-5266,한식,OPEN
250,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",745-839-3463,한식,OPEN
251,Praesent blandit lacinia erat.,112-907-3917,한식,CLOSED
252,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,486-198-5188,기타,OPEN
254,Sed ante. Vivamus tortor.,271-834-6072,중식,CLOSED
256,Phasellus id sapien in sapien iaculis congue.,603-306-7928,한식,CLOSED
261,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,916-858-2105,양식,CLOSED
264,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",735-935-4689,한식,OPEN
266,Sed accumsan felis.,259-412-0450,양식,OPEN
268,Fusce consequat. Nulla nisl.,751-755-4723,카페/디저트,CLOSED
269,Vestibulum ac est lacinia nisi venenatis tristique.,847-246-7939,한식,CLOSED
271,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",217-957-0905,기타,OPEN
275,Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,300-909-4630,기타,CLOSED
277,Integer tincidunt ante vel ipsum.,335-427-9318,기타,OPEN
278,Phasellus sit amet erat. Nulla tempus.,561-482-5578,한식,CLOSED
279,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",952-664-4450,양식,CLOSED
280,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",911-612-7304,기타,CLOSED
282,Morbi vel lectus in quam fringilla rhoncus.,161-220-3775,중식,CLOSED
283,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.,782-881-0762,카페/디저트,OPEN
284,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",506-113-1595,한식,OPEN
286,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,919-835-8783,양식,OPEN
290,Integer ac neque. Duis bibendum.,417-561-8698,한식,OPEN
291,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,166-685-2204,카페/디저트,CLOSED
294,Ut tellus. Nulla ut erat id mauris vulputate elementum.,424-462-1786,양식,OPEN
296,Ut at dolor quis odio consequat varius.,286-780-4955,일식,OPEN
297,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",157-365-1485,기타,CLOSED
299,Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,289-541-2565,한식,CLOSED
301,Suspendisse potenti.,613-663-5207,한식,CLOSED
302,Vivamus vestibulum sagittis sapien.,138-741-5164,한식,CLOSED
303,Etiam faucibus cursus urna. Ut tellus.,599-828-1214,카페/디저트,CLOSED
307,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,880-232-8043,카페/디저트,OPEN
308,Nunc purus.,202-611-3044,중식,OPEN
309,Vestibulum rutrum rutrum neque.,856-148-0821,한식,OPEN
310,Suspendisse potenti. Cras in purus eu magna vulputate luctus.,743-530-3007,중식,CLOSED
312,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",968-236-9300,한식,CLOSED
314,Mauris lacinia sapien quis libero.,254-422-4458,한식,CLOSED
316,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,325-453-4532,기타,CLOSED
317,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",315-639-9733,한식,CLOSED
320,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,706-457-5646,한식,OPEN
321,Suspendisse accumsan tortor quis turpis. Sed ante.,826-647-1916,카페/디저트,OPEN
323,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",148-722-7710,카페/디저트,CLOSED
328,Pellentesque viverra pede ac diam.,637-660-7788,카페/디저트,OPEN
329,Etiam vel augue.,181-844-2081,양식,CLOSED
330,Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,833-762-1424,일식,OPEN
332,In sagittis dui vel nisl. Duis ac nibh.,610-995-1907,양식,OPEN
333,Nam nulla.,265-485-7202,한식,CLOSED
335,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",457-781-7905,중식,OPEN
337,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",577-926-2142,기타,OPEN
339,Curabitur convallis.,631-449-5253,양식,CLOSED
340,Suspendisse potenti.,650-876-7960,한식,OPEN
343,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",297-828-2080,일식,CLOSED
345,Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.,868-542-7064,카페/디저트,OPEN
347,Donec ut mauris eget massa tempor convallis.,770-340-1838,기타,OPEN
348,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.,599-116-9999,카페/디저트,CLOSED
350,Sed sagittis.,870-903-2242,한식,CLOSED
351,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",262-836-1707,양식,OPEN
352,Fusce consequat. Nulla nisl.,886-651-1939,일식,OPEN
353,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",329-300-9963,일식,CLOSED
354,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,629-459-9541,한식,CLOSED
355,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,341-166-9665,양식,CLOSED
356,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",830-217-1163,기타,CLOSED
357,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",362-807-9587,카페/디저트,OPEN
359,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",989-677-6123,한식,CLOSED
361,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",505-720-6580,한식,OPEN
363,Suspendisse accumsan tortor quis turpis. Sed ante.,771-368-1582,카페/디저트,OPEN
364,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",634-521-1782,양식,OPEN
365,Donec ut dolor.,168-181-3117,카페/디저트,CLOSED
366,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",339-160-0045,한식,CLOSED
367,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",200-506-6350,카페/디저트,CLOSED
368,Aenean lectus.,276-467-1149,일식,OPEN
369,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",395-503-9073,일식,OPEN
370,Nulla nisl.,644-435-9660,기타,CLOSED
372,In congue.,267-167-7437,카페/디저트,CLOSED
373,Sed sagittis.,467-767-5545,한식,OPEN
376,In quis justo. Maecenas rhoncus aliquam lacus.,926-910-6860,한식,CLOSED
378,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",375-493-9729,기타,CLOSED
379,Nulla mollis molestie lorem. Quisque ut erat.,966-418-7395,한식,OPEN
380,Ut tellus.,765-105-2385,한식,OPEN
384,Aliquam quis turpis eget elit sodales scelerisque.,653-486-3704,카페/디저트,CLOSED
386,Fusce consequat. Nulla nisl.,245-161-6983,한식,CLOSED
388,Nulla ut erat id mauris vulputate elementum. Nullam varius.,898-325-6122,일식,CLOSED
392,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",963-214-9328,일식,OPEN
393,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",207-577-6106,카페/디저트,OPEN
394,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",809-216-3922,양식,CLOSED
395,Praesent blandit lacinia erat.,299-269-5417,일식,CLOSED
400,Nulla nisl. Nunc nisl.,428-786-5563,한식,OPEN
401,Quisque ut erat. Curabitur gravida nisi at nibh.,799-120-7294,기타,OPEN
402,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",695-452-7432,카페/디저트,CLOSED
403,Proin at turpis a pede posuere nonummy.,448-538-4502,양식,CLOSED
408,Donec posuere metus vitae ipsum.,859-689-5196,한식,OPEN
409,In hac habitasse platea dictumst.,746-708-0169,양식,CLOSED
411,Ut at dolor quis odio consequat varius.,428-951-0163,일식,CLOSED
412,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",440-818-6413,한식,OPEN
415,Nulla suscipit ligula in lacus.,548-372-6187,일식,OPEN
416,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,424-238-8860,한식,CLOSED
418,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,842-900-3907,일식,OPEN
421,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",414-379-3525,중식,OPEN
423,Nulla ut erat id mauris vulputate elementum. Nullam varius.,145-487-7416,카페/디저트,CLOSED
424,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",346-929-9181,카페/디저트,OPEN
425,Ut at dolor quis odio consequat varius.,233-800-1069,카페/디저트,OPEN
430,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.,207-316-1678,일식,OPEN
431,Pellentesque ultrices mattis odio.,321-154-3020,일식,CLOSED
432,Aliquam sit amet diam in magna bibendum imperdiet.,138-462-0501,카페/디저트,CLOSED
433,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",951-683-2133,일식,OPEN
436,Donec posuere metus vitae ipsum.,140-525-2414,한식,CLOSED
437,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",692-470-4795,양식,CLOSED
438,Nulla tellus.,821-436-2199,일식,OPEN
439,Duis consequat dui nec nisi volutpat eleifend.,619-399-5409,한식,CLOSED
440,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",706-871-8306,일식,OPEN
442,Praesent blandit.,574-920-1918,양식,CLOSED
445,Etiam faucibus cursus urna. Ut tellus.,145-777-3059,한식,OPEN
447,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,437-866-7347,양식,OPEN
449,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",475-734-1894,양식,CLOSED
450,Morbi a ipsum. Integer a nibh.,951-215-7454,양식,OPEN
451,Curabitur in libero ut massa volutpat convallis.,657-608-7393,일식,OPEN
452,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",886-733-2374,일식,CLOSED
453,Suspendisse potenti. In eleifend quam a odio.,575-151-5476,양식,OPEN
454,Fusce consequat. Nulla nisl.,480-629-2160,카페/디저트,CLOSED
455,Quisque ut erat. Curabitur gravida nisi at nibh.,876-613-6398,일식,CLOSED
456,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,330-275-5073,중식,OPEN
457,Suspendisse accumsan tortor quis turpis.,465-348-2119,한식,OPEN
458,Aliquam erat volutpat.,425-623-5676,일식,OPEN
460,Aenean fermentum. Donec ut mauris eget massa tempor convallis.,394-536-5462,한식,OPEN
462,Pellentesque ultrices mattis odio.,269-686-2612,일식,CLOSED
465,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",238-753-5616,일식,OPEN
466,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",769-729-8292,일식,CLOSED
467,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",723-535-9112,일식,CLOSED
468,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,530-610-2015,한식,CLOSED
470,Vivamus in felis eu sapien cursus vestibulum.,502-372-9773,한식,CLOSED
471,Donec quis orci eget orci vehicula condimentum.,393-717-9959,양식,CLOSED
474,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,841-729-8863,일식,CLOSED
476,Aliquam sit amet diam in magna bibendum imperdiet.,917-641-1403,기타,OPEN
477,Maecenas pulvinar lobortis est. Phasellus sit amet erat.,487-731-9556,한식,OPEN
478,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",572-392-7880,한식,OPEN
480,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",832-655-2457,한식,CLOSED
481,Etiam justo. Etiam pretium iaculis justo.,451-802-6982,양식,CLOSED
483,Nulla ut erat id mauris vulputate elementum.,169-723-4157,중식,CLOSED
485,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",512-631-1570,일식,OPEN
486,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",266-295-4311,양식,CLOSED
487,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,812-442-5886,기타,CLOSED
488,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",513-886-9410,중식,OPEN
489,Maecenas rhoncus aliquam lacus.,254-957-5899,한식,CLOSED
490,Suspendisse accumsan tortor quis turpis. Sed ante.,902-919-2323,일식,OPEN
